,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000122257,4685.514875088953,-0.6109809961530948,0.12562945342897605,-4.86335791071884,1.1541088287001536e-06,6.491862161438364e-05
ENSG00000145741,9390.035633214395,0.5824001345790776,0.11978644940752514,4.861986789488148,1.1621338041407564e-06,6.505725123658779e-05
ENSG00000077152,1127.6522067624292,0.6431650300651586,0.13238360042250713,4.858343692213188,1.183718031871645e-06,6.59500046328488e-05
ENSG00000197172,327.64611641487943,1.1843194336430631,0.24404862146362596,4.852801161261954,1.2172972562613732e-06,6.749942131875861e-05
ENSG00000141456,4886.321648312699,-0.5777355251979494,0.11911656851242335,-4.85016931240505,1.233561316737031e-06,6.807861983878897e-05
ENSG00000068489,11029.17300375789,-0.5749185282825843,0.11860659517534763,-4.847272847118042,1.2517022364886803e-06,6.875547496205427e-05
ENSG00000180902,1584.048550754251,-0.660282912569935,0.13626932366358735,-4.845425916987726,1.2634034915557014e-06,6.907392921122292e-05
ENSG00000154127,654.0077038547299,0.7526244405520982,0.1556083324086093,4.83665899442836,1.3203966289329885e-06,7.18541421326324e-05
ENSG00000132424,13273.63176167185,-0.5781977809179858,0.11961922244603095,-4.833652728171289,1.3405034757254809e-06,7.261060493513021e-05
ENSG00000173418,2099.4384050366793,0.6202419857612133,0.12848862034656114,4.827213367909848,1.3845675704137776e-06,7.465179987945254e-05
ENSG00000171848,4531.301692515763,0.5284751480258948,0.10965647328951653,4.819370276760656,1.4401205583907566e-06,7.729087400537548e-05
ENSG00000164949,377.2905148128876,0.8842475135217012,0.18375476657949608,4.81210653732434,1.4934769917353655e-06,7.94572453941651e-05
ENSG00000131711,4730.820920573317,-0.5644119662454267,0.11731235775501325,-4.8111893499242795,1.5003479154233415e-06,7.94572453941651e-05
ENSG00000101104,1996.0838053985003,-0.7433212105650934,0.1545206615273205,-4.810497206120672,1.505553081393412e-06,7.94572453941651e-05
ENSG00000140374,1292.52924077615,0.6355668217903636,0.1321284589915261,4.810218984171494,1.5076502972226197e-06,7.94572453941651e-05
ENSG00000111328,3067.7113071399262,0.556448669337171,0.11589665357316793,4.801248803839479,1.5767921292326266e-06,8.272855565929028e-05
ENSG00000101665,182.83139705333667,1.1594678903319127,0.24164021277723988,4.798323412340262,1.5999928196940482e-06,8.357105352866234e-05
ENSG00000182141,505.88256085632236,-0.8034874231571202,0.16751581032131307,-4.796487099432263,1.6147235146758609e-06,8.396562276314476e-05
ENSG00000153310,1569.2376142114001,0.6075119846198682,0.12668195385195005,4.795568477968471,1.6221414262780856e-06,8.397811808607788e-05
ENSG00000176597,188.7865830380508,1.1251517588964797,0.23541890262150508,4.779360307806052,1.7585380394703915e-06,9.063830423702017e-05
ENSG00000127314,5878.272697505672,0.5492376281840806,0.11496079281962253,4.777608215053401,1.773925870618046e-06,9.103040651855763e-05
ENSG00000136997,3683.6802059994916,0.7062589346248943,0.14798117764866392,4.7726268019145675,1.8183855079131802e-06,9.290441241303148e-05
ENSG00000143891,398.35886248717736,-0.8571636670088912,0.17980591196090118,-4.7671606437238925,1.868403323297869e-06,9.463341507612583e-05
ENSG00000151461,2673.6361859912545,-0.6598585998754919,0.13840601760014,-4.767557157679713,1.8647310170775671e-06,9.463341507612583e-05
ENSG00000112977,770.2062585453633,0.7389303290312169,0.15504055112333368,4.766045551807946,1.8787680110702843e-06,9.474821435138933e-05
ENSG00000138069,1901.6544157161204,0.6258664396752915,0.1316901091406471,4.752569830486331,2.008473682306944e-06,0.0001004236841153472
ENSG00000144746,1229.2224637752809,0.6109939956661873,0.1285498453171519,4.7529734023309995,2.0044672562770618e-06,0.0001004236841153472
ENSG00000138587,580.3473297383393,-0.8562600204484508,0.18021254604070414,-4.751389618872871,2.0202343246478097e-06,0.00010058187914203989
ENSG00000135899,580.9336837903229,-0.7804796795199773,0.16437409788123858,-4.748191409597145,2.052437481332527e-06,0.00010175219716775663
ENSG00000267680,700.9837925453558,-0.7585513892176993,0.159825891634128,-4.746110792575263,2.0736515758463027e-06,0.0001023701410860833
ENSG00000125977,21062.203921382636,-0.508629761237683,0.1074037530310594,-4.735679591108847,2.183222759354837e-06,0.00010713278115534447
ENSG00000123131,3229.489819789742,0.5647739172343563,0.11927150627840295,4.735195646109004,2.188438862916866e-06,0.00010713278115534447
ENSG00000099194,9938.886815217458,-0.5326425526343807,0.11285780379250465,-4.7195899152323895,2.363205709923809e-06,0.00011520627835878568
ENSG00000164463,371.61667838192517,-0.8724972914513476,0.185193926424252,-4.711262989546346,2.4618629442738914e-06,0.00011951782758508103
ENSG00000146247,7925.562525645104,-0.5381706687033541,0.11437570679358852,-4.705288245121664,2.5350751658543218e-06,0.00012256355140700647
ENSG00000113070,851.6124703151683,0.6910676860755294,0.14694832156940493,4.702794007409825,2.5662529682355327e-06,0.00012356032810022935
ENSG00000187257,2503.636378708011,-0.5515719815247032,0.11738663428044185,-4.698763065367165,2.6174189130616047e-06,0.00012550738230664252
ENSG00000067225,22295.543667021993,0.5071292623927256,0.10813989022559645,4.689567016711187,2.7378375732598567e-06,0.00013061901620750523
ENSG00000174501,1744.1956493045423,-0.8166513643741099,0.17416575764331566,-4.688931828072533,2.746348545901392e-06,0.00013061901620750523
ENSG00000073614,5653.586849760342,-0.5211048492751854,0.11140291837905897,-4.677658869780026,2.9016874436169673e-06,0.00013689412536418757
ENSG00000159905,301.8026336886029,-0.8852465651256003,0.18962997894844907,-4.668283833782709,3.0372611288280066e-06,0.00014172871153934517
ENSG00000110330,2217.798973080766,0.5635962346677414,0.12070997355545315,4.669011334086906,3.026526834745818e-06,0.00014172871153934517
ENSG00000123636,1793.5886273168194,-0.6042411562641061,0.1294414759344808,-4.668064481665475,3.040504837297063e-06,0.00014172871153934517
ENSG00000105825,423.2774109691655,0.8424723038687614,0.18060410885214798,4.664746052696141,3.0899839763675394e-06,0.0001434635417599215
ENSG00000060339,8870.20830793218,-0.5829322767911818,0.12511241391471964,-4.659268081811017,3.1733570115957166e-06,0.00014675208314494025
ENSG00000120075,304.2262385509372,-1.0185924584672488,0.21927227292406531,-4.6453317826462746,3.395303390534384e-06,0.00015639783334351297
ENSG00000182903,2375.098870208144,-0.613065594831569,0.1320523743031009,-4.642594259035392,3.4406158971136317e-06,0.00015786355292639017
ENSG00000153989,4128.493538435253,0.5790036535554504,0.12486294293745008,4.637113621817335,3.533082171615182e-06,0.00016147289612460013
ENSG00000118620,709.4106495073685,-0.7822233950876892,0.16873682167750043,-4.635759920752329,3.5562853710121623e-06,0.00016190092934179883
ENSG00000126247,18091.465873436347,0.5434867348639669,0.11735271537134541,4.631224195743431,3.6350999005610054e-06,0.0001648475536300921
ENSG00000187994,569.01721306334,-0.7452283166677817,0.16143786042053004,-4.616192971874961,3.908435443889935e-06,0.00017655866677031753
ENSG00000137815,5223.117226583131,-0.6067558264664344,0.13153530781564415,-4.6128741897715,3.9713870524931526e-06,0.00017871241736219188
ENSG00000138778,5980.9815447367955,-0.6944252042889465,0.1505696999524642,-4.611985044190039,3.988416977467689e-06,0.00017879110588648264
ENSG00000142669,3696.5750136040574,0.5170798021407805,0.11226535673269697,4.605871456605656,4.107420689614465e-06,0.00018342298499423373
ENSG00000087087,6405.859169146974,-0.5131130303325405,0.111463344532465,-4.603423955066146,4.156009911033978e-06,0.00018488713292432523
ENSG00000177889,2606.385744805201,0.544241219400716,0.11825861561091414,4.602127435613983,4.1819718582615936e-06,0.000185337389172957
ENSG00000168374,2839.65105245667,0.5235279361018191,0.11395359824225623,4.594220315788894,4.3437027483184656e-06,0.0001917785741710417
